,Name,N,M,K,Best.Obj,Avg.Obj,Avg.Time
186,Golden_18,21,301,4,594,596.0,3.1306
187,Golden_7,46,361,4,10236,10361.625,16.0374
188,Golden_4,69,481,4,14122,14284.25,51.7889
189,Golden_1,17,241,4,4933,4950.625,2.4501
190,Golden_15,34,397,4,846,848.375,8.7486
191,Golden_14,41,321,4,697,700.25,13.0842
192,Golden_2,27,321,4,7667,7719.625,5.931
193,Golden_18,22,301,4,593,597.25,3.4266
194,Golden_13,43,253,4,559,563.875,13.8216
195,Golden_19,52,361,5,809,811.625,18.2558
196,Golden_7,31,361,4,10128,10181.125,6.9569
197,Golden_11,29,400,5,457,461.0,5.98
198,Golden_10,54,324,4,398,402.25,27.7613
199,Golden_13,32,253,4,546,548.375,7.2154
200,Golden_18,51,301,4,610,613.25,25.3089
201,Golden_16,44,481,5,1035,1038.625,12.9126
202,Golden_10,27,324,4,361,362.5,5.663
203,Golden_1,49,241,4,5096,5236.5,18.4335
204,Golden_2,23,321,4,7775,7808.25,3.878
205,Golden_4,37,481,4,13688,13801.125,10.554
206,Golden_19,73,361,5,818,826.75,38.1568
207,Golden_16,49,481,5,1040,1042.0,17.1898
208,Golden_19,37,361,5,804,810.5,9.1021
209,Golden_5,26,201,4,7601,7695.125,4.5482
210,Golden_9,37,256,4,295,299.25,9.7706
211,Golden_1,35,241,4,5172,5221.875,8.6144
212,Golden_6,47,281,4,9032,9144.5,16.3108
213,Golden_13,17,253,4,556,556.0,2.3706
214,Golden_8,49,441,4,11070,11143.75,20.0858
215,Golden_8,45,441,4,11030,11112.5,18.1895
216,Golden_9,18,256,4,302,302.0,2.8409
217,Golden_11,27,400,5,458,461.375,5.2926
218,Golden_4,44,481,4,13760,13808.125,15.8581
219,Golden_12,54,484,5,540,545.625,26.2047
