,Name,N,M,Scheme_dep_Error,Scheme_indep_Error,Mean_dis
173,Golden_8,89,441,27266.50237645005,13625.0,35.19
174,Golden_16,35,481,1007.9284916591964,753.0,2.8833333333333333
175,Golden_6,32,281,13756.35148109417,9968.0,44.03
176,Golden_8,37,441,14021.34001746914,10474.0,35.19
177,Golden_3,45,401,15747.18035731533,10805.0,36.93
178,Golden_17,41,241,822.4465737974214,529.0,2.3508333333333336
179,Golden_5,34,201,16749.20958787842,9143.0,53.06000000000001
180,Golden_11,31,400,627.4577648874337,445.0,1.881453634085213
181,Golden_9,20,256,414.8053292768021,343.0,1.9023529411764708
182,Golden_19,61,361,1561.4157385449407,996.0,2.9805555555555556
183,Golden_15,80,397,1630.4091271700406,1108.0,2.8929292929292934
184,Golden_16,81,481,1855.8345393407783,1225.0,2.8833333333333333
185,Golden_4,54,481,22067.02730896016,14493.0,39.78333333333334
186,Golden_18,21,301,730.91495120215,471.0,2.6446666666666667
187,Golden_7,46,361,16539.838424599766,11159.0,38.85
188,Golden_4,69,481,26321.5269445372,17308.0,39.78333333333334
189,Golden_1,17,241,5757.316053518249,3854.0,29.666666666666668
190,Golden_15,34,397,913.1795096918825,685.0,2.8929292929292934
191,Golden_14,41,321,980.925915961707,684.0,2.9050000000000002
192,Golden_2,27,321,8605.988256448272,5827.0,33.62499999999999
193,Golden_18,22,301,835.3113852412966,494.0,2.6446666666666667
194,Golden_13,43,253,926.3335342941114,572.0,2.92063492063492
195,Golden_19,52,361,1642.7700660502865,1029.0,2.9805555555555556
196,Golden_7,31,361,13121.834679281083,9467.0,38.85
197,Golden_11,29,400,626.9296987058177,503.0,1.881453634085213
198,Golden_10,54,324,790.5909819360268,579.0,1.8907120743034058
199,Golden_13,32,253,814.0516687915829,532.0,2.92063492063492
200,Golden_18,51,301,1261.0082521161467,739.0,2.6446666666666667
201,Golden_16,44,481,1116.7981936162018,840.0,2.8833333333333333
202,Golden_10,27,324,534.4907653517093,377.0,1.8907120743034058
203,Golden_1,49,241,13254.753041799846,6784.0,29.666666666666668
204,Golden_2,23,321,8978.653371005901,6160.0,33.62499999999999
205,Golden_4,37,481,16745.97261037307,11176.0,39.78333333333334
206,Golden_19,73,361,1883.5881501456713,1026.0,2.9805555555555556
207,Golden_16,49,481,1202.709397610758,922.0,2.8833333333333333
208,Golden_19,37,361,1296.212075602732,813.0,2.9805555555555556
209,Golden_5,26,201,14424.39265268393,9466.0,53.06000000000001
210,Golden_9,37,256,582.6502544647901,412.0,1.9023529411764708
211,Golden_1,35,241,8563.99127138037,5534.0,29.666666666666668
212,Golden_6,47,281,17209.557552870687,10263.0,44.03
213,Golden_13,17,253,515.1278299470188,376.0,2.92063492063492
214,Golden_8,49,441,14917.76097578246,10476.0,35.19
215,Golden_8,45,441,14223.33582299162,10447.0,35.19
216,Golden_9,18,256,388.25522379540985,310.0,1.9023529411764708
217,Golden_11,27,400,585.7099194295754,467.0,1.881453634085213
218,Golden_4,44,481,18473.57966220804,12067.0,39.78333333333334
219,Golden_12,54,484,928.1227178925606,783.0,1.8739130434782612
